com.github.javaparser	javaparser-core	3.24.4	gaoss	mvnc
com.google.auto.service	auto-service	1.0.1	gaoss	mvnc
com.google.protobuf	protobuf-java	3.25.1	gaoss	mvnc
com.google.truth	truth	1.1.3	gaoss	mvnc
com.google.truth	truth	1.1.5	gaoss	mvnc
com.google.truth	truth	1.2.0	gaoss	mvnc
io.netty	netty	3.10.6.Final	gaoss	mvnc
io.rest-assured	rest-assured	5.2.1	gaoss	mvnc
io.undertow	undertow-servlet	2.2.23.Final	gaoss	mvnc
io.undertow	undertow-servlet	2.2.24.Final	gaoss	mvnc
io.undertow	undertow-servlet	2.2.25.Final	gaoss	mvnc
io.undertow	undertow-servlet	2.2.26.Final	gaoss	mvnc
io.undertow	undertow-servlet	2.2.28.Final	gaoss	mvnc
io.undertow	undertow-servlet	2.2.31.Final	gaoss	mvnc
io.undertow	undertow-servlet	2.2.32.Final	gaoss	mvnc
org.antlr	ST4	4.3.3	gaoss	mvnc
org.apache.commons	commons-text	1.11.0	mvnc	obfs
org.apache.hadoop	hadoop-hdfs	3.3.5	gaoss	mvnc
org.apache.hadoop	hadoop-hdfs	3.3.6	gaoss	mvnc
org.apache.hadoop	hadoop-hdfs	3.4.0	gaoss	mvnc
org.apache.zookeeper	zookeeper	3.9.1	mvnc	obfs
org.glassfish.jersey.connectors	jersey-netty-connector	3.0.12	mvnc	obfs
org.glassfish.jersey.containers	jersey-container-grizzly2-http	3.0.12	mvnc	obfs
org.glassfish.jersey.containers	jersey-container-jdk-http	3.0.12	mvnc	obfs
org.glassfish.jersey.containers	jersey-container-servlet	3.0.12	mvnc	obfs
org.glassfish.jersey.containers	jersey-container-servlet-core	3.0.12	mvnc	obfs
org.glassfish.jersey.containers	jersey-container-simple-http	3.0.12	mvnc	obfs
org.glassfish.jersey.core	jersey-client	2.37	gaoss	mvnc
org.glassfish.jersey.core	jersey-client	2.38	gaoss	mvnc
org.glassfish.jersey.core	jersey-client	2.39	gaoss	mvnc
org.glassfish.jersey.core	jersey-client	2.39.1	gaoss	mvnc
org.glassfish.jersey.core	jersey-client	2.40	gaoss	mvnc
org.glassfish.jersey.core	jersey-client	2.41	gaoss	mvnc
org.glassfish.jersey.core	jersey-client	3.0.11	gaoss	mvnc
org.glassfish.jersey.core	jersey-client	3.0.12	gaoss	mvnc
org.glassfish.jersey.core	jersey-client	3.0.12	mvnc	obfs
org.glassfish.jersey.core	jersey-client	3.0.9	gaoss	mvnc
org.glassfish.jersey.core	jersey-server	2.37	gaoss	mvnc
org.glassfish.jersey.core	jersey-server	2.38	gaoss	mvnc
org.glassfish.jersey.core	jersey-server	2.39	gaoss	mvnc
org.glassfish.jersey.core	jersey-server	2.39.1	gaoss	mvnc
org.glassfish.jersey.core	jersey-server	2.40	gaoss	mvnc
org.glassfish.jersey.core	jersey-server	3.0.10	gaoss	mvnc
org.glassfish.jersey.core	jersey-server	3.0.11	gaoss	mvnc
org.glassfish.jersey.core	jersey-server	3.0.12	gaoss	mvnc
org.glassfish.jersey.core	jersey-server	3.0.12	mvnc	obfs
org.glassfish.jersey.core	jersey-server	3.0.9	gaoss	mvnc
org.glassfish.jersey.inject	jersey-hk2	3.0.12	mvnc	obfs
org.glassfish.jersey.media	jersey-media-jaxb	3.0.12	mvnc	obfs
org.glassfish.jersey.media	jersey-media-sse	3.0.12	mvnc	obfs
