JUnit version 4.13.2
2024-11-14 03:47:31,224 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.hdfs.server.balancer.Dispatcher_ESTest
2024-11-14 03:47:31,225 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.hdfs.server.balancer.Dispatcher_ESTest'.
2024-11-14 03:47:31,289 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.hdfs.server.balancer.Dispatcher_ESTest_scaffolding
2024-11-14 03:47:31,289 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.hdfs.server.balancer.Dispatcher_ESTest_scaffolding'.
2024-11-14 03:47:31,294 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.hdfs.server.balancer.Dispatcher_ESTest_scaffolding
2024-11-14 03:47:31,295 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.hdfs.server.balancer.Dispatcher_ESTest
2024-11-14 03:47:31,295 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.hdfs.server.balancer.Dispatcher$DDatanode$StorageGroup
2024-11-14 03:47:31,295 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.hdfs.server.balancer.Dispatcher$DDatanode$StorageGroup'.
2024-11-14 03:47:31,302 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/hadoop/hdfs/server/balancer/Dispatcher$DDatanode$StorageGroup
2024-11-14 03:47:31,417 INFO  CreateClassResetClassAdapter - Creating brand-new static initializer in class org/apache/hadoop/hdfs/server/balancer/Dispatcher$DDatanode$StorageGroup
2024-11-14 03:47:31,419 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.hdfs.server.balancer.Dispatcher$DDatanode$StorageGroup
2024-11-14 03:47:31,419 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.hdfs.server.balancer.Dispatcher$Source
2024-11-14 03:47:31,419 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.hdfs.server.balancer.Dispatcher$Source'.
2024-11-14 03:47:31,420 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/hadoop/hdfs/server/balancer/Dispatcher$Source
2024-11-14 03:47:31,435 INFO  CreateClassResetClassAdapter - Creating brand-new static initializer in class org/apache/hadoop/hdfs/server/balancer/Dispatcher$Source
2024-11-14 03:47:31,435 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.hdfs.server.balancer.Dispatcher$Source
2024-11-14 03:47:31,626 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.net.InnerNode
2024-11-14 03:47:31,626 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.net.InnerNode'.
2024-11-14 03:47:31,627 INFO  EvoClassLoader - Defined package (3): package org.apache.hadoop.net, -1243656086
2024-11-14 03:47:31,627 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.net.Node
2024-11-14 03:47:31,627 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.net.Node'.
2024-11-14 03:47:31,628 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.net.Node
2024-11-14 03:47:31,628 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.net.InnerNode
2024-11-14 03:47:31,628 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.crypto.CryptoOutputStream
2024-11-14 03:47:31,628 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.crypto.CryptoOutputStream'.
2024-11-14 03:47:31,629 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/hadoop/crypto/CryptoOutputStream
2024-11-14 03:47:31,634 INFO  CreateClassResetClassAdapter - Creating brand-new static initializer in class org/apache/hadoop/crypto/CryptoOutputStream
2024-11-14 03:47:31,634 INFO  EvoClassLoader - Defined package (3): package org.apache.hadoop.crypto, -1673217324
2024-11-14 03:47:31,635 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.fs.Syncable
2024-11-14 03:47:31,635 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.fs.Syncable'.
2024-11-14 03:47:31,635 INFO  EvoClassLoader - Defined package (3): package org.apache.hadoop.fs, -40118176
2024-11-14 03:47:31,635 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.fs.Syncable
2024-11-14 03:47:31,635 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.fs.CanSetDropBehind
2024-11-14 03:47:31,635 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.fs.CanSetDropBehind'.
2024-11-14 03:47:31,636 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.fs.CanSetDropBehind
2024-11-14 03:47:31,636 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.fs.StreamCapabilities
2024-11-14 03:47:31,636 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.fs.StreamCapabilities'.
2024-11-14 03:47:31,637 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.fs.StreamCapabilities
2024-11-14 03:47:31,637 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.fs.statistics.IOStatisticsSource
2024-11-14 03:47:31,637 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.fs.statistics.IOStatisticsSource'.
2024-11-14 03:47:31,638 INFO  EvoClassLoader - Defined package (3): package org.apache.hadoop.fs.statistics, -2061501583
2024-11-14 03:47:31,638 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.fs.statistics.IOStatisticsSource
2024-11-14 03:47:31,638 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.crypto.CryptoOutputStream
2024-11-14 03:47:31,641 INFO  EvoClassLoader - Seeing class for first time: com.ctc.wstx.sr.CompactNsContext
2024-11-14 03:47:31,641 INFO  EvoClassLoader - Instrumenting class 'com.ctc.wstx.sr.CompactNsContext'.
2024-11-14 03:47:31,642 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class com/ctc/wstx/sr/CompactNsContext
2024-11-14 03:47:31,646 INFO  CreateClassResetClassAdapter - Creating brand-new static initializer in class com/ctc/wstx/sr/CompactNsContext
2024-11-14 03:47:31,647 INFO  EvoClassLoader - Defined package (3): package com.ctc.wstx.sr, 1195124708
2024-11-14 03:47:31,647 INFO  EvoClassLoader - Seeing class for first time: com.ctc.wstx.util.BaseNsContext
2024-11-14 03:47:31,647 INFO  EvoClassLoader - Instrumenting class 'com.ctc.wstx.util.BaseNsContext'.
2024-11-14 03:47:31,648 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class com/ctc/wstx/util/BaseNsContext
2024-11-14 03:47:31,653 INFO  CreateClassResetClassAdapter - Creating brand-new static initializer in class com/ctc/wstx/util/BaseNsContext
2024-11-14 03:47:31,653 INFO  CreateClassResetClassAdapter - Adding bytecode for initializing field UNDECLARED_NS_URI
2024-11-14 03:47:31,653 INFO  EvoClassLoader - Defined package (3): package com.ctc.wstx.util, 1758641223
2024-11-14 03:47:31,655 INFO  EvoClassLoader - Keeping class: com.ctc.wstx.util.BaseNsContext
2024-11-14 03:47:31,655 INFO  EvoClassLoader - Keeping class: com.ctc.wstx.sr.CompactNsContext
2024-11-14 03:47:31,655 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.fs.FileSystem
2024-11-14 03:47:31,655 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.fs.FileSystem'.
2024-11-14 03:47:31,661 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/hadoop/fs/FileSystem
2024-11-14 03:47:31,697 INFO  CreateClassResetClassAdapter - Found static initializer in class org/apache/hadoop/fs/FileSystem
2024-11-14 03:47:31,698 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.security.token.DelegationTokenIssuer
2024-11-14 03:47:31,698 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.security.token.DelegationTokenIssuer'.
2024-11-14 03:47:31,699 INFO  EvoClassLoader - Defined package (3): package org.apache.hadoop.security.token, -540953378
2024-11-14 03:47:31,700 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.security.token.DelegationTokenIssuer
2024-11-14 03:47:31,700 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.fs.PathCapabilities
2024-11-14 03:47:31,700 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.fs.PathCapabilities'.
2024-11-14 03:47:31,701 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.fs.PathCapabilities
2024-11-14 03:47:31,701 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.conf.Configured
2024-11-14 03:47:31,701 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.conf.Configured'.
2024-11-14 03:47:31,702 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/hadoop/conf/Configured
2024-11-14 03:47:31,708 INFO  CreateClassResetClassAdapter - Creating brand-new static initializer in class org/apache/hadoop/conf/Configured
2024-11-14 03:47:31,708 INFO  EvoClassLoader - Defined package (3): package org.apache.hadoop.conf, 101048823
2024-11-14 03:47:31,708 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.conf.Configurable
2024-11-14 03:47:31,708 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.conf.Configurable'.
2024-11-14 03:47:31,708 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.conf.Configurable
2024-11-14 03:47:31,708 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.conf.Configured
2024-11-14 03:47:31,708 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.fs.FileSystem
2024-11-14 03:47:31,709 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.fs.PathFilter
2024-11-14 03:47:31,709 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.fs.PathFilter'.
2024-11-14 03:47:31,709 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.fs.PathFilter
2024-11-14 03:47:31,710 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.fs.GlobalStorageStatistics$StorageStatisticsProvider
2024-11-14 03:47:31,710 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.fs.GlobalStorageStatistics$StorageStatisticsProvider'.
2024-11-14 03:47:31,710 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.fs.GlobalStorageStatistics$StorageStatisticsProvider
2024-11-14 03:47:31,710 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.fs.ParentNotDirectoryException
2024-11-14 03:47:31,711 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.fs.ParentNotDirectoryException'.
2024-11-14 03:47:31,712 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/hadoop/fs/ParentNotDirectoryException
2024-11-14 03:47:31,712 INFO  CreateClassResetClassAdapter - Creating brand-new static initializer in class org/apache/hadoop/fs/ParentNotDirectoryException
2024-11-14 03:47:31,712 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.fs.ParentNotDirectoryException
2024-11-14 03:47:31,713 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.fs.CreateFlag
2024-11-14 03:47:31,713 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.fs.CreateFlag'.
2024-11-14 03:47:31,714 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/hadoop/fs/CreateFlag
2024-11-14 03:47:31,716 INFO  CreateClassResetClassAdapter - Found static initializer in class org/apache/hadoop/fs/CreateFlag
2024-11-14 03:47:31,716 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.fs.CreateFlag
2024-11-14 03:47:31,717 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.fs.QuotaUsage
2024-11-14 03:47:31,717 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.fs.QuotaUsage'.
2024-11-14 03:47:31,718 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/hadoop/fs/QuotaUsage
2024-11-14 03:47:31,720 INFO  CreateClassResetClassAdapter - Found static initializer in class org/apache/hadoop/fs/QuotaUsage
2024-11-14 03:47:31,721 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.fs.QuotaUsage
2024-11-14 03:47:31,721 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.fs.ContentSummary
2024-11-14 03:47:31,722 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.fs.ContentSummary'.
2024-11-14 03:47:31,722 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/hadoop/fs/ContentSummary
2024-11-14 03:47:31,724 INFO  CreateClassResetClassAdapter - Found static initializer in class org/apache/hadoop/fs/ContentSummary
