JUnit version 4.13.2
2024-11-12 17:37:32,512 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.hdfs.tools.DFSAdmin_ESTest
2024-11-12 17:37:32,513 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.hdfs.tools.DFSAdmin_ESTest'.
2024-11-12 17:37:32,572 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.hdfs.tools.DFSAdmin_ESTest_scaffolding
2024-11-12 17:37:32,572 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.hdfs.tools.DFSAdmin_ESTest_scaffolding'.
2024-11-12 17:37:32,577 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.hdfs.tools.DFSAdmin_ESTest_scaffolding
2024-11-12 17:37:32,577 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.hdfs.tools.DFSAdmin_ESTest
2024-11-12 17:37:32,718 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.util.Shell$OSType
2024-11-12 17:37:32,718 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.util.Shell$OSType'.
2024-11-12 17:37:32,723 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/hadoop/util/Shell$OSType
2024-11-12 17:37:32,792 INFO  CreateClassResetClassAdapter - Found static initializer in class org/apache/hadoop/util/Shell$OSType
2024-11-12 17:37:32,793 INFO  EvoClassLoader - Defined package (3): package org.apache.hadoop.util, 101589717
2024-11-12 17:37:32,793 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.util.Shell$OSType
2024-11-12 17:37:32,794 INFO  EvoClassLoader - Seeing class for first time: com.ctc.wstx.sr.CompactNsContext
2024-11-12 17:37:32,794 INFO  EvoClassLoader - Instrumenting class 'com.ctc.wstx.sr.CompactNsContext'.
2024-11-12 17:37:32,794 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class com/ctc/wstx/sr/CompactNsContext
2024-11-12 17:37:32,796 INFO  CreateClassResetClassAdapter - Creating brand-new static initializer in class com/ctc/wstx/sr/CompactNsContext
2024-11-12 17:37:32,797 INFO  EvoClassLoader - Defined package (3): package com.ctc.wstx.sr, 1195124708
2024-11-12 17:37:32,797 INFO  EvoClassLoader - Seeing class for first time: com.ctc.wstx.util.BaseNsContext
2024-11-12 17:37:32,797 INFO  EvoClassLoader - Instrumenting class 'com.ctc.wstx.util.BaseNsContext'.
2024-11-12 17:37:32,797 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class com/ctc/wstx/util/BaseNsContext
2024-11-12 17:37:32,799 INFO  CreateClassResetClassAdapter - Creating brand-new static initializer in class com/ctc/wstx/util/BaseNsContext
2024-11-12 17:37:32,799 INFO  CreateClassResetClassAdapter - Adding bytecode for initializing field UNDECLARED_NS_URI
2024-11-12 17:37:32,799 INFO  EvoClassLoader - Defined package (3): package com.ctc.wstx.util, 1758641223
2024-11-12 17:37:32,799 INFO  EvoClassLoader - Keeping class: com.ctc.wstx.util.BaseNsContext
2024-11-12 17:37:32,799 INFO  EvoClassLoader - Keeping class: com.ctc.wstx.sr.CompactNsContext
2024-11-12 17:37:32,800 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.fs.FileSystem
