TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.google.common.jimfs.AclAttributeProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.555529193029193,200,108
com.google.common.jimfs.AttributeProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7209708081950729,255,192
com.google.common.jimfs.AttributeService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5420483785506167,786,456
com.google.common.jimfs.Configuration,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.684237420754888,614,588
com.google.common.jimfs.Directory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8121118545205009,662,522
com.google.common.jimfs.File,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8991361788617886,376,355
com.google.common.jimfs.Handler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8022127329192547,134,92
com.google.common.jimfs.JimfsFileSystem,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8413626762180282,235,180
com.google.common.jimfs.JimfsFileSystemProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4218804149341883,482,203
com.google.common.jimfs.JimfsFileSystems,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6468137254901961,123,19
com.google.common.jimfs.JimfsPath,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.07117214391751904,882,8
com.google.common.jimfs.JimfsSecureDirectoryStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6704955767455767,226,162
com.google.common.jimfs.Options,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7992532005689901,311,264
com.google.common.jimfs.PathMatchers,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3339599667379425,136,68
com.google.common.jimfs.PathService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5203389507977103,533,267
com.google.common.jimfs.PathURLConnection,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6383952364151838,168,100
com.google.common.jimfs.PollingWatchService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.42918360433604336,256,92
com.google.common.jimfs.PosixAttributeProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4659654967673835,427,202
com.google.common.jimfs.SystemJimfsFileSystemProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.58341156720881,283,169
com.google.common.jimfs.UserDefinedAttributeProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5384810403443642,212,112
com.google.common.jimfs.WatchServiceConfiguration,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5299145299145299,59,32
com.google.common.jimfs.WindowsPathType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8687707053975436,448,392
