TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
io.restassured.assertion.DetailedCookieAssertion,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8141708437761069,103,83
io.restassured.assertion.HeaderMatcher,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8503319597069597,138,117
io.restassured.assertion.ResponseTimeMatcher,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5855154808959157,123,53
io.restassured.assertion.StreamVerifier,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6891587579946359,248,139
io.restassured.authentication.BasicAuthScheme,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666667,35,33
io.restassured.authentication.CertAuthScheme,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8618055555555556,143,127
io.restassured.authentication.ExplicitNoAuthScheme,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.625,8,8
io.restassured.authentication.FormAuthScheme,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5555555555555556,41,36
io.restassured.authentication.NTLMAuthScheme,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,57,55
io.restassured.authentication.NoAuthScheme,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,8,4
io.restassured.authentication.OAuth2Scheme,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6677927927927928,89,65
io.restassured.authentication.OAuthScheme,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7020189832689833,122,98
io.restassured.authentication.PreemptiveBasicAuthScheme,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7826388888888889,107,93
io.restassured.authentication.PreemptiveOAuth2HeaderScheme,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7592592592592593,64,50
