com/google/common/cache/RemovalListeners	lambda$null$0	(Lcom/google/common/cache/RemovalListener;Lcom/google/common/cache/RemovalNotification;)V	INVOKE_STATIC	com/google/common/cache/RemovalListener::onRemoval(Lcom/google/common/cache/RemovalNotification;)V
com/google/common/collect/AbstractMapBasedMultimap	access$200	(Lcom/google/common/collect/AbstractMapBasedMultimap;)I	GET_FIELD	com/google/common/collect/AbstractMapBasedMultimap::totalSize|I
com/google/common/collect/AbstractMapBasedMultimap	access$202	(Lcom/google/common/collect/AbstractMapBasedMultimap;I)I	GET_FIELD	com/google/common/collect/AbstractMapBasedMultimap::totalSize|I
com/google/common/collect/AbstractMapBasedMultimap	lambda$null$0	(Ljava/lang/Object;Ljava/lang/Object;)Ljava/util/Map$Entry;	INVOKE_STATIC	com/google/common/collect/Maps::immutableEntry(Ljava/lang/Object;Ljava/lang/Object;)Ljava/util/Map$Entry;
com/google/common/collect/AbstractMapBasedMultimap	lambda$null$2	(Ljava/util/function/BiConsumer;Ljava/lang/Object;Ljava/lang/Object;)V	INVOKE_STATIC	java/util/function/BiConsumer::accept(Ljava/lang/Object;Ljava/lang/Object;)V
com/google/common/collect/AbstractMapBasedMultimap$AsMap	remove	(Ljava/lang/Object;)Ljava/util/Collection;	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$200(Lcom/google/common/collect/AbstractMapBasedMultimap;)I
com/google/common/collect/AbstractMapBasedMultimap$AsMap	remove	(Ljava/lang/Object;)Ljava/util/Collection;	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$202(Lcom/google/common/collect/AbstractMapBasedMultimap;I)I
com/google/common/collect/AbstractMapBasedMultimap$AsMap$AsMapIterator	remove	()V	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$200(Lcom/google/common/collect/AbstractMapBasedMultimap;)I
com/google/common/collect/AbstractMapBasedMultimap$AsMap$AsMapIterator	remove	()V	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$202(Lcom/google/common/collect/AbstractMapBasedMultimap;I)I
com/google/common/collect/AbstractMapBasedMultimap$KeySet	remove	(Ljava/lang/Object;)Z	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$200(Lcom/google/common/collect/AbstractMapBasedMultimap;)I
com/google/common/collect/AbstractMapBasedMultimap$KeySet	remove	(Ljava/lang/Object;)Z	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$202(Lcom/google/common/collect/AbstractMapBasedMultimap;I)I
com/google/common/collect/AbstractMapBasedMultimap$KeySet$1	remove	()V	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$200(Lcom/google/common/collect/AbstractMapBasedMultimap;)I
com/google/common/collect/AbstractMapBasedMultimap$KeySet$1	remove	()V	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$202(Lcom/google/common/collect/AbstractMapBasedMultimap;I)I
com/google/common/collect/AbstractMapBasedMultimap$WrappedCollection	addAll	(Ljava/util/Collection;)Z	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$200(Lcom/google/common/collect/AbstractMapBasedMultimap;)I
