org/apache/bval/jsr/util/AnnotationsManager	lambda$getAnnotation$4	(Ljava/lang/Class;Ljava/lang/reflect/AnnotatedElement;)Ljava/lang/annotation/Annotation;	INVOKE_STATIC	java/lang/reflect/AnnotatedElement::getAnnotation(Ljava/lang/Class;)Ljava/lang/annotation/Annotation;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getComposition$13	(Ljava/util/Set;Ljava/lang/Class;Ljava/lang/Class;)V	CONSTANT	 type: class java.lang.String; value: Attempt to compose %s of %s but validator types are incompatible
org/apache/bval/jsr/util/AnnotationsManager	lambda$getComposition$13	(Ljava/util/Set;Ljava/lang/Class;Ljava/lang/Class;)V	INVOKE_DYNAMIC	[java/lang/invoke/LambdaMetafactory::metafactory(Ljava/lang/invoke/MethodHandles$Lookup;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodHandle;Ljava/lang/invoke/MethodType;)Ljava/lang/invoke/CallSite;]::apply()Ljava/util/function/Function;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getComposition$13	(Ljava/util/Set;Ljava/lang/Class;Ljava/lang/Class;)V	INVOKE_STATIC	java/util/Collections::disjoint(Ljava/util/Collection;Ljava/util/Collection;)Z
org/apache/bval/jsr/util/AnnotationsManager	lambda$getComposition$13	(Ljava/util/Set;Ljava/lang/Class;Ljava/lang/Class;)V	INVOKE_STATIC	org/apache/bval/util/Exceptions::raise(Ljava/util/function/Function;Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/Object;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getComposition$13	(Ljava/util/Set;Ljava/lang/Class;Ljava/lang/Class;)V	INVOKE_VIRTUAL	java/lang/Class::getName()Ljava/lang/String;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getComposition$13	(Ljava/util/Set;Ljava/lang/Class;Ljava/lang/Class;)V	INVOKE_VIRTUAL	org/apache/bval/jsr/util/AnnotationsManager::supportedTargets(Ljava/lang/Class;)Ljava/util/Set;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getComposition$14	(Ljava/lang/Class;Ljava/lang/Class;)Lorg/apache/bval/jsr/util/AnnotationsManager$Composition;	GET_FIELD	org/apache/bval/jsr/util/AnnotationsManager$Composition::components|[Ljava/lang/annotation/Annotation;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getComposition$14	(Ljava/lang/Class;Ljava/lang/Class;)Lorg/apache/bval/jsr/util/AnnotationsManager$Composition;	INVOKE_DYNAMIC	[java/lang/invoke/LambdaMetafactory::metafactory(Ljava/lang/invoke/MethodHandles$Lookup;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodHandle;Ljava/lang/invoke/MethodType;)Ljava/lang/invoke/CallSite;]::accept(Lorg/apache/bval/jsr/util/AnnotationsManager;Ljava/util/Set;Ljava/lang/Class;)Ljava/util/function/Consumer;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getComposition$14	(Ljava/lang/Class;Ljava/lang/Class;)Lorg/apache/bval/jsr/util/AnnotationsManager$Composition;	INVOKE_DYNAMIC	[java/lang/invoke/LambdaMetafactory::metafactory(Ljava/lang/invoke/MethodHandles$Lookup;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodHandle;Ljava/lang/invoke/MethodType;)Ljava/lang/invoke/CallSite;]::apply()Ljava/util/function/Function;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getComposition$14	(Ljava/lang/Class;Ljava/lang/Class;)Lorg/apache/bval/jsr/util/AnnotationsManager$Composition;	INVOKE_SPECIAL	org/apache/bval/jsr/util/AnnotationsManager$Composition::<init>(Lorg/apache/bval/jsr/util/AnnotationsManager;Ljava/lang/Class;)V
org/apache/bval/jsr/util/AnnotationsManager	lambda$getComposition$14	(Ljava/lang/Class;Ljava/lang/Class;)Lorg/apache/bval/jsr/util/AnnotationsManager$Composition;	INVOKE_STATIC	java/util/stream/Stream::forEach(Ljava/util/function/Consumer;)V
org/apache/bval/jsr/util/AnnotationsManager	lambda$getComposition$14	(Ljava/lang/Class;Ljava/lang/Class;)Lorg/apache/bval/jsr/util/AnnotationsManager$Composition;	INVOKE_STATIC	java/util/stream/Stream::map(Ljava/util/function/Function;)Ljava/util/stream/Stream;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getComposition$14	(Ljava/lang/Class;Ljava/lang/Class;)Lorg/apache/bval/jsr/util/AnnotationsManager$Composition;	INVOKE_STATIC	java/util/stream/Stream::of([Ljava/lang/Object;)Ljava/util/stream/Stream;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getComposition$14	(Ljava/lang/Class;Ljava/lang/Class;)Lorg/apache/bval/jsr/util/AnnotationsManager$Composition;	INVOKE_VIRTUAL	org/apache/bval/jsr/util/AnnotationsManager::supportedTargets(Ljava/lang/Class;)Ljava/util/Set;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getDeclaredAnnotationsByType$5	(Ljava/lang/Class;Ljava/lang/reflect/AnnotatedElement;)[Ljava/lang/annotation/Annotation;	INVOKE_STATIC	java/lang/reflect/AnnotatedElement::getDeclaredAnnotationsByType(Ljava/lang/Class;)[Ljava/lang/annotation/Annotation;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getDeclaredConstraints$6	(Ljava/lang/annotation/Annotation;)Z	INVOKE_STATIC	java/lang/annotation/Annotation::annotationType()Ljava/lang/Class;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getDeclaredConstraints$6	(Ljava/lang/annotation/Annotation;)Z	INVOKE_VIRTUAL	java/lang/Class::isAnnotationPresent(Ljava/lang/Class;)Z
org/apache/bval/jsr/util/AnnotationsManager	lambda$getDeclaredConstraints$7	(Ljava/lang/Class;)Ljava/lang/annotation/Repeatable;	INVOKE_VIRTUAL	java/lang/Class::getAnnotation(Ljava/lang/Class;)Ljava/lang/annotation/Annotation;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getDeclaredConstraints$8	(Ljava/util/Map;Ljava/lang/reflect/AnnotatedElement;Ljava/lang/annotation/Annotation;)V	CONSTANT	 type: class java.lang.String; value: Simultaneous declaration of repeatable constraint and associated container on %s
org/apache/bval/jsr/util/AnnotationsManager	lambda$getDeclaredConstraints$8	(Ljava/util/Map;Ljava/lang/reflect/AnnotatedElement;Ljava/lang/annotation/Annotation;)V	INVOKE_DYNAMIC	[java/lang/invoke/LambdaMetafactory::metafactory(Ljava/lang/invoke/MethodHandles$Lookup;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodHandle;Ljava/lang/invoke/MethodType;)Ljava/lang/invoke/CallSite;]::apply()Ljava/util/function/Function;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getDeclaredConstraints$8	(Ljava/util/Map;Ljava/lang/reflect/AnnotatedElement;Ljava/lang/annotation/Annotation;)V	INVOKE_DYNAMIC	[java/lang/invoke/LambdaMetafactory::metafactory(Ljava/lang/invoke/MethodHandles$Lookup;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodHandle;Ljava/lang/invoke/MethodType;)Ljava/lang/invoke/CallSite;]::test(Ljava/util/Map;)Ljava/util/function/Predicate;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getDeclaredConstraints$8	(Ljava/util/Map;Ljava/lang/reflect/AnnotatedElement;Ljava/lang/annotation/Annotation;)V	INVOKE_STATIC	java/lang/annotation/Annotation::annotationType()Ljava/lang/Class;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getDeclaredConstraints$8	(Ljava/util/Map;Ljava/lang/reflect/AnnotatedElement;Ljava/lang/annotation/Annotation;)V	INVOKE_STATIC	java/util/Objects::requireNonNull(Ljava/lang/Object;)Ljava/lang/Object;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getDeclaredConstraints$8	(Ljava/util/Map;Ljava/lang/reflect/AnnotatedElement;Ljava/lang/annotation/Annotation;)V	INVOKE_STATIC	java/util/Optional::of(Ljava/lang/Object;)Ljava/util/Optional;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getDeclaredConstraints$8	(Ljava/util/Map;Ljava/lang/reflect/AnnotatedElement;Ljava/lang/annotation/Annotation;)V	INVOKE_STATIC	org/apache/bval/util/Exceptions::raiseIf(ZLjava/util/function/Function;Ljava/lang/String;[Ljava/lang/Object;)V
org/apache/bval/jsr/util/AnnotationsManager	lambda$getDeclaredConstraints$8	(Ljava/util/Map;Ljava/lang/reflect/AnnotatedElement;Ljava/lang/annotation/Annotation;)V	INVOKE_VIRTUAL	java/util/Optional::filter(Ljava/util/function/Predicate;)Ljava/util/Optional;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getDeclaredConstraints$8	(Ljava/util/Map;Ljava/lang/reflect/AnnotatedElement;Ljava/lang/annotation/Annotation;)V	INVOKE_VIRTUAL	java/util/Optional::isPresent()Z
