org/apache/maven/DefaultMaven	buildGraph	(Lorg/apache/maven/execution/MavenSession;Lorg/apache/maven/execution/MavenExecutionResult;)Lorg/apache/maven/model/building/Result;	INVOKE_STATIC	org/apache/maven/model/building/ModelProblem::toString()Ljava/lang/String;
org/apache/maven/RepositoryUtils	getLayout	(Lorg/apache/maven/artifact/repository/ArtifactRepository;)Ljava/lang/String;	INVOKE_STATIC	org/apache/maven/artifact/repository/layout/ArtifactRepositoryLayout::getClass()Ljava/lang/Class;
org/apache/maven/artifact/repository/LegacyLocalRepositoryManager	<init>	(Lorg/apache/maven/artifact/repository/ArtifactRepository;)V	INVOKE_STATIC	org/apache/maven/artifact/repository/layout/ArtifactRepositoryLayout::getClass()Ljava/lang/Class;
org/apache/maven/artifact/repository/LegacyLocalRepositoryManager$ArtifactMetadataAdapter	extendedToString	()Ljava/lang/String;	INVOKE_STATIC	org/eclipse/aether/metadata/Metadata::toString()Ljava/lang/String;
org/apache/maven/artifact/repository/LegacyLocalRepositoryManager$ArtifactMetadataAdapter	getKey	()Ljava/lang/Object;	INVOKE_STATIC	org/eclipse/aether/metadata/Metadata::toString()Ljava/lang/String;
org/apache/maven/artifact/resolver/ResolutionNode	getTrail	()Ljava/util/List;	INVOKE_STATIC	org/apache/maven/artifact/versioning/ArtifactVersion::toString()Ljava/lang/String;
org/apache/maven/artifact/resolver/ResolutionNode	toString	()Ljava/lang/String;	INVOKE_STATIC	org/apache/maven/artifact/Artifact::toString()Ljava/lang/String;
org/apache/maven/classrealm/ArtifactClassRealmConstituent	toString	()Ljava/lang/String;	INVOKE_STATIC	org/eclipse/aether/artifact/Artifact::toString()Ljava/lang/String;
org/apache/maven/classrealm/ClassRealmRequest$RealmType	$values	()[Lorg/apache/maven/classrealm/ClassRealmRequest$RealmType;	GET_STATIC_FIELD	org/apache/maven/classrealm/ClassRealmRequest$RealmType::Core|Lorg/apache/maven/classrealm/ClassRealmRequest$RealmType;
org/apache/maven/classrealm/ClassRealmRequest$RealmType	$values	()[Lorg/apache/maven/classrealm/ClassRealmRequest$RealmType;	GET_STATIC_FIELD	org/apache/maven/classrealm/ClassRealmRequest$RealmType::Extension|Lorg/apache/maven/classrealm/ClassRealmRequest$RealmType;
org/apache/maven/classrealm/ClassRealmRequest$RealmType	$values	()[Lorg/apache/maven/classrealm/ClassRealmRequest$RealmType;	GET_STATIC_FIELD	org/apache/maven/classrealm/ClassRealmRequest$RealmType::Plugin|Lorg/apache/maven/classrealm/ClassRealmRequest$RealmType;
org/apache/maven/classrealm/ClassRealmRequest$RealmType	$values	()[Lorg/apache/maven/classrealm/ClassRealmRequest$RealmType;	GET_STATIC_FIELD	org/apache/maven/classrealm/ClassRealmRequest$RealmType::Project|Lorg/apache/maven/classrealm/ClassRealmRequest$RealmType;
org/apache/maven/classrealm/ClassRealmRequest$RealmType	<clinit>	()V	INVOKE_STATIC	org/apache/maven/classrealm/ClassRealmRequest$RealmType::$values()[Lorg/apache/maven/classrealm/ClassRealmRequest$RealmType;
org/apache/maven/classrealm/DefaultClassRealmManager	callDelegates	(Lorg/codehaus/plexus/classworlds/realm/ClassRealm;Lorg/apache/maven/classrealm/ClassRealmRequest$RealmType;Ljava/lang/ClassLoader;Ljava/util/List;Ljava/util/Map;Ljava/util/List;)V	INVOKE_STATIC	org/apache/maven/classrealm/ClassRealmManagerDelegate::getClass()Ljava/lang/Class;
org/apache/maven/eventspy/internal/EventSpyDispatcher	logError	(Ljava/lang/String;Ljava/lang/Throwable;Lorg/apache/maven/eventspy/EventSpy;)V	INVOKE_STATIC	org/apache/maven/eventspy/EventSpy::getClass()Ljava/lang/Class;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ForkFailed|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ForkStarted|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ForkSucceeded|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ForkedProjectFailed|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ForkedProjectStarted|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ForkedProjectSucceeded|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::MojoFailed|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::MojoSkipped|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::MojoStarted|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::MojoSucceeded|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ProjectDiscoveryStarted|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ProjectFailed|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ProjectSkipped|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ProjectStarted|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ProjectSucceeded|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::SessionEnded|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	$values	()[Lorg/apache/maven/execution/ExecutionEvent$Type;	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::SessionStarted|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	INVOKE_STATIC	org/apache/maven/execution/ExecutionEvent$Type::$values()[Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/graph/DefaultProjectDependencyGraph	toString	()Ljava/lang/String;	INVOKE_STATIC	java/util/List::toString()Ljava/lang/String;
org/apache/maven/graph/FilteredProjectDependencyGraph	toString	()Ljava/lang/String;	INVOKE_STATIC	java/util/List::toString()Ljava/lang/String;
org/apache/maven/internal/aether/ReverseTreeRepositoryListener	artifactResolved	(Lorg/eclipse/aether/RepositoryEvent;)V	INVOKE_STATIC	org/eclipse/aether/artifact/Artifact::toString()Ljava/lang/String;
org/apache/maven/lifecycle/LifecycleExecutionException	createMessage	(Lorg/apache/maven/plugin/MojoExecution;Lorg/apache/maven/project/MavenProject;Ljava/lang/Throwable;)Ljava/lang/String;	INVOKE_STATIC	org/apache/maven/shared/utils/logging/MessageBuilder::toString()Ljava/lang/String;
org/apache/maven/lifecycle/internal/DefaultMojoExecutionConfigurator	lambda$checkUnknownMojoConfigurationParameters$3	(Lorg/apache/maven/plugin/MojoExecution;Ljava/lang/String;)V	INVOKE_STATIC	org/apache/maven/shared/utils/logging/MessageBuilder::toString()Ljava/lang/String;
org/apache/maven/lifecycle/internal/LifecycleDependencyResolver	getProjects	(Lorg/apache/maven/project/MavenProject;Lorg/apache/maven/execution/MavenSession;Z)Ljava/util/List;	INVOKE_STATIC	java/util/Objects::requireNonNull(Ljava/lang/Object;)Ljava/lang/Object;
org/apache/maven/lifecycle/internal/LifecycleStarter	execute	(Lorg/apache/maven/execution/MavenSession;)V	INVOKE_STATIC	org/apache/maven/lifecycle/internal/builder/Builder::getClass()Ljava/lang/Class;
org/apache/maven/lifecycle/internal/TaskSegment	toString	()Ljava/lang/String;	INVOKE_STATIC	java/util/List::toString()Ljava/lang/String;
org/apache/maven/plugin/DefaultExtensionRealmCache$CacheKey	toString	()Ljava/lang/String;	INVOKE_STATIC	java/util/List::toString()Ljava/lang/String;
org/apache/maven/plugin/MojoExecution$Source	$values	()[Lorg/apache/maven/plugin/MojoExecution$Source;	GET_STATIC_FIELD	org/apache/maven/plugin/MojoExecution$Source::CLI|Lorg/apache/maven/plugin/MojoExecution$Source;
org/apache/maven/plugin/MojoExecution$Source	$values	()[Lorg/apache/maven/plugin/MojoExecution$Source;	GET_STATIC_FIELD	org/apache/maven/plugin/MojoExecution$Source::LIFECYCLE|Lorg/apache/maven/plugin/MojoExecution$Source;
org/apache/maven/plugin/MojoExecution$Source	<clinit>	()V	INVOKE_STATIC	org/apache/maven/plugin/MojoExecution$Source::$values()[Lorg/apache/maven/plugin/MojoExecution$Source;
org/apache/maven/plugin/PluginValidationManager$IssueLocality	$values	()[Lorg/apache/maven/plugin/PluginValidationManager$IssueLocality;	GET_STATIC_FIELD	org/apache/maven/plugin/PluginValidationManager$IssueLocality::EXTERNAL|Lorg/apache/maven/plugin/PluginValidationManager$IssueLocality;
org/apache/maven/plugin/PluginValidationManager$IssueLocality	$values	()[Lorg/apache/maven/plugin/PluginValidationManager$IssueLocality;	GET_STATIC_FIELD	org/apache/maven/plugin/PluginValidationManager$IssueLocality::INTERNAL|Lorg/apache/maven/plugin/PluginValidationManager$IssueLocality;
org/apache/maven/plugin/PluginValidationManager$IssueLocality	<clinit>	()V	INVOKE_STATIC	org/apache/maven/plugin/PluginValidationManager$IssueLocality::$values()[Lorg/apache/maven/plugin/PluginValidationManager$IssueLocality;
org/apache/maven/plugin/internal/AbstractMavenPluginDescriptorSourcedParametersValidator	isIgnoredProperty	(Ljava/lang/String;)Z	INVOKE_STATIC	java/util/Objects::requireNonNull(Ljava/lang/Object;)Ljava/lang/Object;
org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel	$values	()[Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;	GET_STATIC_FIELD	org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel::BRIEF|Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;
org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel	$values	()[Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;	GET_STATIC_FIELD	org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel::INLINE|Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;
org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel	$values	()[Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;	GET_STATIC_FIELD	org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel::NONE|Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;
org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel	$values	()[Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;	GET_STATIC_FIELD	org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel::SUMMARY|Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;
org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel	$values	()[Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;	GET_STATIC_FIELD	org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel::VERBOSE|Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;
org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel	<clinit>	()V	INVOKE_STATIC	org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel::$values()[Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;
org/apache/maven/plugin/internal/DeprecatedPluginValidator	logDeprecatedMojo	(Lorg/apache/maven/plugin/descriptor/MojoDescriptor;)Ljava/lang/String;	INVOKE_STATIC	org/apache/maven/shared/utils/logging/MessageBuilder::toString()Ljava/lang/String;
org/apache/maven/project/DefaultProjectRealmCache$CacheKey	toString	()Ljava/lang/String;	INVOKE_STATIC	java/util/List::toString()Ljava/lang/String;
org/apache/maven/project/ProjectBuildingRequest$RepositoryMerging	$values	()[Lorg/apache/maven/project/ProjectBuildingRequest$RepositoryMerging;	GET_STATIC_FIELD	org/apache/maven/project/ProjectBuildingRequest$RepositoryMerging::POM_DOMINANT|Lorg/apache/maven/project/ProjectBuildingRequest$RepositoryMerging;
org/apache/maven/project/ProjectBuildingRequest$RepositoryMerging	$values	()[Lorg/apache/maven/project/ProjectBuildingRequest$RepositoryMerging;	GET_STATIC_FIELD	org/apache/maven/project/ProjectBuildingRequest$RepositoryMerging::REQUEST_DOMINANT|Lorg/apache/maven/project/ProjectBuildingRequest$RepositoryMerging;
org/apache/maven/project/ProjectBuildingRequest$RepositoryMerging	<clinit>	()V	INVOKE_STATIC	org/apache/maven/project/ProjectBuildingRequest$RepositoryMerging::$values()[Lorg/apache/maven/project/ProjectBuildingRequest$RepositoryMerging;
org/apache/maven/project/artifact/DefaultMavenMetadataCache	artifactHashCode	(Lorg/apache/maven/artifact/Artifact;)I	INVOKE_STATIC	org/apache/maven/artifact/resolver/filter/ArtifactFilter::hashCode()I
org/apache/maven/project/artifact/DefaultProjectArtifactsCache$CacheKey	<init>	(Lorg/apache/maven/project/MavenProject;Ljava/util/List;Ljava/util/Collection;Ljava/util/Collection;ZLorg/eclipse/aether/RepositorySystemSession;)V	INVOKE_STATIC	org/apache/maven/artifact/Artifact::toString()Ljava/lang/String;
org/apache/maven/repository/DelegatingLocalArtifactRepository	hashCode	()I	INVOKE_STATIC	org/apache/maven/artifact/repository/ArtifactRepository::hashCode()I
