org/springframework/data/auditing/AuditingHandlerSupport	touchDate	(Lorg/springframework/data/auditing/AuditableBeanWrapper;Z)Ljava/util/Optional;	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/auditing/DefaultAuditableBeanWrapperFactory	<init>	()V	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/auditing/DefaultAuditableBeanWrapperFactory$DateConvertingAuditableBeanWrapper	lambda$null$0	(Ljava/lang/Class;Ljava/lang/Class;)Z	INVOKE_STATIC	java/lang/Class::isAssignableFrom(Ljava/lang/Class;)Z
org/springframework/data/auditing/DefaultAuditableBeanWrapperFactory$DateConvertingAuditableBeanWrapper	lambda$null$1	(Ljava/lang/Object;Ljava/lang/Class;)Z	GET_FIELD	org/springframework/data/auditing/DefaultAuditableBeanWrapperFactory$DateConvertingAuditableBeanWrapper::conversionService|Lorg/springframework/core/convert/ConversionService;
org/springframework/data/auditing/DefaultAuditableBeanWrapperFactory$DateConvertingAuditableBeanWrapper	lambda$null$1	(Ljava/lang/Object;Ljava/lang/Class;)Z	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/auditing/DefaultAuditableBeanWrapperFactory$DateConvertingAuditableBeanWrapper	lambda$null$1	(Ljava/lang/Object;Ljava/lang/Class;)Z	INVOKE_STATIC	org/springframework/core/convert/ConversionService::canConvert(Ljava/lang/Class;Ljava/lang/Class;)Z
org/springframework/data/auditing/DefaultAuditableBeanWrapperFactory$DateConvertingAuditableBeanWrapper	lambda$null$3	(Ljava/util/Optional;)Ljava/lang/IllegalArgumentException;	INVOKE_DYNAMIC	[java/lang/invoke/LambdaMetafactory::metafactory(Ljava/lang/invoke/MethodHandles$Lookup;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodHandle;Ljava/lang/invoke/MethodType;)Ljava/lang/invoke/CallSite;]::apply(Ljava/lang/Class;)Ljava/util/function/Function;
org/springframework/data/auditing/DefaultAuditableBeanWrapperFactory$DateConvertingAuditableBeanWrapper	lambda$null$3	(Ljava/util/Optional;)Ljava/lang/IllegalArgumentException;	INVOKE_DYNAMIC	[java/lang/invoke/LambdaMetafactory::metafactory(Ljava/lang/invoke/MethodHandles$Lookup;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodHandle;Ljava/lang/invoke/MethodType;)Ljava/lang/invoke/CallSite;]::get(Ljava/util/Optional;)Ljava/util/function/Supplier;
org/springframework/data/auditing/DefaultAuditableBeanWrapperFactory$DateConvertingAuditableBeanWrapper	lambda$null$3	(Ljava/util/Optional;)Ljava/lang/IllegalArgumentException;	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/auditing/DefaultAuditableBeanWrapperFactory$DateConvertingAuditableBeanWrapper	lambda$null$3	(Ljava/util/Optional;)Ljava/lang/IllegalArgumentException;	INVOKE_STATIC	java/util/Optional::map(Ljava/util/function/Function;)Ljava/util/Optional;
org/springframework/data/auditing/DefaultAuditableBeanWrapperFactory$DateConvertingAuditableBeanWrapper	lambda$null$3	(Ljava/util/Optional;)Ljava/lang/IllegalArgumentException;	INVOKE_STATIC	java/util/Optional::orElseGet(Ljava/util/function/Supplier;)Ljava/lang/Object;
org/springframework/data/auditing/DefaultAuditableBeanWrapperFactory$DateConvertingAuditableBeanWrapper	lambda$null$3	(Ljava/util/Optional;)Ljava/lang/IllegalArgumentException;	INVOKE_STATIC	org/springframework/data/auditing/DefaultAuditableBeanWrapperFactory::access$000(Ljava/lang/Object;)Ljava/lang/IllegalArgumentException;
org/springframework/data/auditing/MappingAuditableBeanWrapperFactory	lambda$null$0	(Lorg/springframework/data/mapping/context/MappingContext;Ljava/lang/Object;Ljava/lang/Class;)Lorg/springframework/data/auditing/MappingAuditableBeanWrapperFactory$MappingAuditingMetadata;	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/auditing/MappingAuditableBeanWrapperFactory	lambda$null$0	(Lorg/springframework/data/mapping/context/MappingContext;Ljava/lang/Object;Ljava/lang/Class;)Lorg/springframework/data/auditing/MappingAuditableBeanWrapperFactory$MappingAuditingMetadata;	INVOKE_STATIC	org/springframework/data/auditing/MappingAuditableBeanWrapperFactory$MappingAuditingMetadata::<init>(Lorg/springframework/data/mapping/context/MappingContext;Ljava/lang/Class;)V
org/springframework/data/auditing/MappingAuditableBeanWrapperFactory	lambda$null$1	(Ljava/lang/Object;Lorg/springframework/data/mapping/context/MappingContext;Lorg/springframework/data/mapping/PersistentEntity;)Ljava/util/Optional;	GET_FIELD	org/springframework/data/auditing/MappingAuditableBeanWrapperFactory::metadataCache|Ljava/util/Map;
org/springframework/data/auditing/MappingAuditableBeanWrapperFactory	lambda$null$1	(Ljava/lang/Object;Lorg/springframework/data/mapping/context/MappingContext;Lorg/springframework/data/mapping/PersistentEntity;)Ljava/util/Optional;	INVOKE_DYNAMIC	[java/lang/invoke/LambdaMetafactory::metafactory(Ljava/lang/invoke/MethodHandles$Lookup;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodHandle;Ljava/lang/invoke/MethodType;)Ljava/lang/invoke/CallSite;]::apply(Lorg/springframework/data/mapping/context/MappingContext;Ljava/lang/Object;)Ljava/util/function/Function;
org/springframework/data/auditing/MappingAuditableBeanWrapperFactory	lambda$null$1	(Ljava/lang/Object;Lorg/springframework/data/mapping/context/MappingContext;Lorg/springframework/data/mapping/PersistentEntity;)Ljava/util/Optional;	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/auditing/MappingAuditableBeanWrapperFactory	lambda$null$1	(Ljava/lang/Object;Lorg/springframework/data/mapping/context/MappingContext;Lorg/springframework/data/mapping/PersistentEntity;)Ljava/util/Optional;	INVOKE_STATIC	java/util/Map::computeIfAbsent(Ljava/lang/Object;Ljava/util/function/Function;)Ljava/lang/Object;
org/springframework/data/auditing/MappingAuditableBeanWrapperFactory	lambda$null$1	(Ljava/lang/Object;Lorg/springframework/data/mapping/context/MappingContext;Lorg/springframework/data/mapping/PersistentEntity;)Ljava/util/Optional;	INVOKE_STATIC	java/util/Optional::ofNullable(Ljava/lang/Object;)Ljava/util/Optional;
org/springframework/data/auditing/MappingAuditableBeanWrapperFactory	lambda$null$1	(Ljava/lang/Object;Lorg/springframework/data/mapping/context/MappingContext;Lorg/springframework/data/mapping/PersistentEntity;)Ljava/util/Optional;	INVOKE_STATIC	org/springframework/data/auditing/MappingAuditableBeanWrapperFactory$MappingAuditingMetadata::isAuditable()Z
org/springframework/data/auditing/MappingAuditableBeanWrapperFactory	lambda$null$1	(Ljava/lang/Object;Lorg/springframework/data/mapping/context/MappingContext;Lorg/springframework/data/mapping/PersistentEntity;)Ljava/util/Optional;	INVOKE_STATIC	org/springframework/data/auditing/MappingAuditableBeanWrapperFactory$MappingMetadataAuditableBeanWrapper::<init>(Lorg/springframework/core/convert/ConversionService;Lorg/springframework/data/mapping/PersistentPropertyPathAccessor;Lorg/springframework/data/auditing/MappingAuditableBeanWrapperFactory$MappingAuditingMetadata;)V
org/springframework/data/auditing/MappingAuditableBeanWrapperFactory	lambda$null$1	(Ljava/lang/Object;Lorg/springframework/data/mapping/context/MappingContext;Lorg/springframework/data/mapping/PersistentEntity;)Ljava/util/Optional;	INVOKE_STATIC	org/springframework/data/auditing/MappingAuditableBeanWrapperFactory::getConversionService()Lorg/springframework/core/convert/ConversionService;
org/springframework/data/auditing/MappingAuditableBeanWrapperFactory	lambda$null$1	(Ljava/lang/Object;Lorg/springframework/data/mapping/context/MappingContext;Lorg/springframework/data/mapping/PersistentEntity;)Ljava/util/Optional;	INVOKE_STATIC	org/springframework/data/mapping/PersistentEntity::getPropertyPathAccessor(Ljava/lang/Object;)Lorg/springframework/data/mapping/PersistentPropertyPathAccessor;
org/springframework/data/auditing/MappingAuditableBeanWrapperFactory	lambda$null$2	(Ljava/lang/Object;)Ljava/util/Optional;	INVOKE_STATIC	org/springframework/data/auditing/DefaultAuditableBeanWrapperFactory::getBeanWrapperFor(Ljava/lang/Object;)Ljava/util/Optional;
org/springframework/data/auditing/MappingAuditableBeanWrapperFactory$MappingAuditingMetadata	lambda$null$1	(Lorg/springframework/data/mapping/PersistentPropertyPaths;)Z	INVOKE_STATIC	org/springframework/data/mapping/PersistentPropertyPaths::isEmpty()Z
org/springframework/data/auditing/MappingAuditableBeanWrapperFactory$MappingMetadataAuditableBeanWrapper	getLastModifiedDate	()Ljava/util/Optional;	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/convert/CustomConversions	collectPotentialConverterRegistrations	(Lorg/springframework/data/convert/CustomConversions$StoreConversions;Ljava/util/Collection;)Ljava/util/List;	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/convert/CustomConversions$StoreConversions	lambda$null$0	(Lorg/springframework/core/convert/converter/GenericConverter;)Ljava/util/stream/Stream;	INVOKE_STATIC	org/springframework/data/convert/CustomConversions$StoreConversions::getRegistrationsFor(Ljava/lang/Object;)Lorg/springframework/data/util/Streamable;
org/springframework/data/convert/CustomConversions$StoreConversions	lambda$null$0	(Lorg/springframework/core/convert/converter/GenericConverter;)Ljava/util/stream/Stream;	INVOKE_STATIC	org/springframework/data/util/Streamable::stream()Ljava/util/stream/Stream;
org/springframework/data/convert/SimplePropertyValueConversions	init	()V	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/domain/Chunk	getConvertedContent	(Ljava/util/function/Function;)Ljava/util/List;	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mapping/callback/EntityCallbackDiscoverer	lookupCallbackMethod	(Ljava/lang/Class;Ljava/lang/Class;[Ljava/lang/Object;)Ljava/lang/reflect/Method;	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mapping/callback/EntityCallbackDiscoverer$CallbackRetriever	discoverEntityCallbacks	(Lorg/springframework/beans/factory/BeanFactory;)V	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mapping/context/AbstractMappingContext$PersistentPropertyCreator	addPropertiesForRemainingDescriptors	()V	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mapping/context/DefaultPersistentPropertyPath	toPath	(Ljava/lang/String;Lorg/springframework/core/convert/converter/Converter;)Ljava/lang/String;	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mapping/model/AbstractPersistentProperty	<init>	(Lorg/springframework/data/mapping/model/Property;Lorg/springframework/data/mapping/PersistentEntity;Lorg/springframework/data/mapping/model/SimpleTypeHolder;)V	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mapping/model/AbstractPersistentProperty	lambda$null$3	(Lorg/springframework/data/util/TypeInformation;)Lorg/springframework/data/util/TypeInformation;	GET_FIELD	org/springframework/data/mapping/model/AbstractPersistentProperty::ASSOCIATION_TYPE|Ljava/lang/Class;
org/springframework/data/mapping/model/AbstractPersistentProperty	lambda$null$3	(Lorg/springframework/data/util/TypeInformation;)Lorg/springframework/data/util/TypeInformation;	INVOKE_STATIC	org/springframework/data/util/TypeInformation::getSuperTypeInformation(Ljava/lang/Class;)Lorg/springframework/data/util/TypeInformation;
org/springframework/data/mapping/model/AnnotationBasedPersistentProperty	lambda$null$11	(Ljava/lang/Class;Ljava/lang/reflect/AnnotatedElement;)Ljava/lang/annotation/Annotation;	INVOKE_STATIC	org/springframework/core/annotation/AnnotatedElementUtils::findMergedAnnotation(Ljava/lang/reflect/AnnotatedElement;Ljava/lang/Class;)Ljava/lang/annotation/Annotation;
org/springframework/data/mapping/model/AnnotationBasedPersistentProperty	lambda$null$6	(Ljava/lang/Class;)Lorg/springframework/data/util/TypeInformation;	INVOKE_STATIC	java/lang/Object::equals(Ljava/lang/Object;)Z
org/springframework/data/mapping/model/AnnotationBasedPersistentProperty	lambda$null$6	(Ljava/lang/Class;)Lorg/springframework/data/util/TypeInformation;	INVOKE_STATIC	org/springframework/data/mapping/model/AnnotationBasedPersistentProperty::getActualTypeInformation()Lorg/springframework/data/util/TypeInformation;
org/springframework/data/mapping/model/AnnotationBasedPersistentProperty	lambda$null$6	(Ljava/lang/Class;)Lorg/springframework/data/util/TypeInformation;	INVOKE_STATIC	org/springframework/data/util/ClassTypeInformation::from(Ljava/lang/Class;)Lorg/springframework/data/util/ClassTypeInformation;
org/springframework/data/mapping/model/AnnotationBasedPersistentProperty	lambda$null$7	()Lorg/springframework/data/util/TypeInformation;	INVOKE_STATIC	org/springframework/data/mapping/model/AbstractPersistentProperty::getAssociationTargetTypeInformation()Lorg/springframework/data/util/TypeInformation;
org/springframework/data/mapping/model/BasicPersistentEntity	lambda$null$3	(Lorg/springframework/data/mapping/PersistentProperty;)Z	INVOKE_STATIC	org/springframework/data/mapping/PersistentProperty::isTransient()Z
org/springframework/data/mapping/model/BasicPersistentEntity	lambda$null$3	(Lorg/springframework/data/mapping/PersistentProperty;)Z	INVOKE_STATIC	org/springframework/data/mapping/model/BasicPersistentEntity::isCreatorArgument(Lorg/springframework/data/mapping/PersistentProperty;)Z
org/springframework/data/mapping/model/ClassGeneratingPropertyAccessorFactory$PropertyAccessorClassGenerator	lambda$null$2	(Ljava/lang/reflect/AccessibleObject;)Ljava/lang/Class;	INVOKE_STATIC	java/lang/reflect/Member::getDeclaringClass()Ljava/lang/Class;
org/springframework/data/mapping/model/ClassGeneratingPropertyAccessorFactory$PropertyAccessorClassGenerator	visitKotlinCopy	(Lorg/springframework/data/mapping/PersistentEntity;Lorg/springframework/data/mapping/PersistentProperty;Lorg/springframework/asm/MethodVisitor;Ljava/lang/String;)V	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mapping/model/KotlinCopyMethod	shouldUsePublicCopyMethod	(Lorg/springframework/data/mapping/PersistentEntity;)Z	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mapping/model/MappingInstantiationException	getConstructor	()Ljava/util/Optional;	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mapping/model/Property	lambda$null$4	(Lorg/springframework/data/util/TypeInformation;Ljava/beans/PropertyDescriptor;)Ljava/lang/String;	CONSTANT	 type: class java.lang.String; value: %s.%s
org/springframework/data/mapping/model/Property	lambda$null$4	(Lorg/springframework/data/util/TypeInformation;Ljava/beans/PropertyDescriptor;)Ljava/lang/String;	INVOKE_STATIC	java/beans/PropertyDescriptor::getDisplayName()Ljava/lang/String;
org/springframework/data/mapping/model/Property	lambda$null$4	(Lorg/springframework/data/util/TypeInformation;Ljava/beans/PropertyDescriptor;)Ljava/lang/String;	INVOKE_STATIC	java/lang/Class::getName()Ljava/lang/String;
